ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
刘学州a,再,18,1,17,0,16,1,88.88888888888889
刘学州a,宝贝,13,1,13,0,12,1,85.71428571428571
刘学州a,姐姐,14,1,12,1,12,0,84.61538461538461
刘学州a,现在,25,3,22,2,21,1,76.0
刘学州a,一定,33,5,29,4,28,1,70.58823529411765
刘学州a,你,517,86,487,30,431,56,69.9825479930192
刘学州a,他们,31,5,28,3,26,2,69.6969696969697
刘学州a,惩罚,12,2,11,1,10,1,69.23076923076923
刘学州a,学州,11,2,10,1,9,1,66.66666666666666
刘学州a,一定要,17,3,14,2,13,1,64.70588235294117
刘学州a,已经,27,5,23,3,21,2,64.28571428571429
刘学州a,有人,18,3,13,3,13,0,62.5
刘学州a,弟弟,43,9,38,4,33,5,61.70212765957447
刘学州a,因为,15,3,12,3,12,0,60.0
刘学州a,州州,43,11,39,4,32,7,56.00000000000001
刘学州a,今天,31,9,30,1,22,8,53.84615384615385
刘学州a,?,11,3,10,1,8,2,53.84615384615385
刘学州a,很多,12,3,10,2,9,1,53.84615384615385
刘学州a,走,17,5,16,1,12,4,52.38095238095239
刘学州a,还是,20,6,19,1,14,5,52.0
刘学州a,好好,23,7,22,1,16,6,51.72413793103448
刘学州a,上,17,5,15,2,12,3,50.0
刘学州a,世界,22,7,20,2,15,5,48.14814814814815
刘学州a,快乐,14,4,11,3,10,1,46.66666666666666
刘学州a,微博,13,3,8,3,8,0,45.45454545454545
刘学州a,如果,23,8,21,2,15,6,44.82758620689656
刘学州a,才,13,4,10,3,9,1,42.85714285714285
刘学州a,”,13,4,10,3,9,1,42.85714285714285
刘学州a,“,13,4,10,3,9,1,42.85714285714285
刘学州a,看到,21,6,15,6,15,0,42.85714285714285
刘学州a,但是,13,5,12,0,7,5,41.17647058823529
刘学州a,阿姨,12,5,12,0,7,5,41.17647058823529
刘学州a,爱,38,13,31,7,25,6,40.909090909090914
刘学州a,不要,24,8,19,4,15,4,40.74074074074074
刘学州a,好,33,12,28,5,21,7,40.0
刘学州a,三亚,19,4,9,2,7,2,38.46153846153847
刘学州a,把,25,8,18,6,16,2,38.46153846153847
刘学州a,不会,18,7,15,2,10,5,36.36363636363637
刘学州a,自杀,12,4,8,3,7,1,33.33333333333333
刘学州a,善良,11,4,8,3,7,1,33.33333333333333
刘学州a,活着,25,11,22,3,14,8,33.33333333333333
刘学州a,可以,31,11,21,8,18,3,31.25
刘学州a,真的,21,9,17,4,12,5,30.76923076923077
刘学州a,还有,17,7,13,3,9,4,30.0
刘学州a,希望,52,20,37,14,31,6,29.82456140350877
刘学州a,多,13,6,11,2,7,4,29.411764705882355
刘学州a,哭,13,6,11,2,7,4,29.411764705882355
刘学州a,愿,24,9,16,8,15,1,28.000000000000004
刘学州a,我们,50,22,39,11,28,11,27.86885245901639
刘学州a,我,225,100,177,46,123,54,27.79783393501805
刘学州a,关注,15,7,12,2,7,5,26.31578947368421
刘学州a,这个,30,12,20,6,14,6,25.0
刘学州a,人间,13,6,10,3,7,3,25.0
鸡蛋姬,永远,11,0,11,0,11,0,100.0
鸡蛋姬,一路走好,33,0,33,0,33,0,100.0
鸡蛋姬,认识,15,0,15,0,15,0,100.0
鸡蛋姬,方式,13,0,13,0,13,0,100.0
鸡蛋姬,小姐姐,12,0,12,0,12,0,100.0
鸡蛋姬,天堂,15,0,15,0,15,0,100.0
鸡蛋姬,不是,15,0,15,0,15,0,100.0
鸡蛋姬,自由,11,0,11,0,11,0,100.0
鸡蛋姬,优秀,11,0,11,0,11,0,100.0
鸡蛋姬,没有,22,1,22,0,21,1,91.30434782608695
鸡蛋姬,下辈子,20,1,20,0,19,1,90.47619047619048
鸡蛋姬,开心,18,1,18,0,17,1,89.47368421052632
鸡蛋姬,漂亮,30,2,30,0,28,2,87.5
鸡蛋姬,姐姐,59,4,58,1,55,3,87.09677419354838
鸡蛋姬,快乐,27,2,27,0,25,2,86.20689655172413
鸡蛋姬,幸福,26,2,26,0,24,2,85.71428571428571
鸡蛋姬,愿,26,2,26,0,24,2,85.71428571428571
鸡蛋姬,来世,12,1,12,0,11,1,84.61538461538461
鸡蛋姬,妹妹,12,1,12,0,11,1,84.61538461538461
鸡蛋姬,世界,36,3,34,2,33,1,83.78378378378379
鸡蛋姬,好看,12,1,11,1,11,0,83.33333333333334
鸡蛋姬,可以,11,1,11,0,10,1,83.33333333333334
鸡蛋姬,你,276,28,274,2,248,26,81.45695364238411
鸡蛋姬,还是,17,2,17,0,15,2,78.94736842105263
鸡蛋姬,希望,51,6,49,2,45,4,78.18181818181819
鸡蛋姬,我们,17,2,16,1,15,1,77.77777777777779
鸡蛋姬,在那边,15,2,15,0,13,2,76.47058823529412
鸡蛋姬,自己,21,3,20,1,18,2,73.91304347826086
鸡蛋姬,再,14,2,12,2,12,0,71.42857142857143
鸡蛋姬,染,13,2,12,1,11,1,71.42857142857143
鸡蛋姬,粉色,51,9,48,3,42,6,68.42105263157895
鸡蛋姬,人,21,4,20,1,17,3,66.66666666666666
鸡蛋姬,头发,37,7,35,2,30,5,66.66666666666666
鸡蛋姬,这个,21,4,19,2,17,2,65.21739130434783
走饭,饭饭,14,11,14,0,3,11,12.0
